path	size_bytes	compressed_bytes
assets/MathJax/fonts/HTML-CSS/TeX/otf/MathJax_Main-Bold.otf	46800	34355
assets/MathJax/fonts/HTML-CSS/TeX/otf/MathJax_Main-Italic.otf	28224	20664
assets/MathJax/fonts/HTML-CSS/TeX/otf/MathJax_Main-Regular.otf	47636	34079
assets/MathJax/fonts/HTML-CSS/TeX/otf/MathJax_Math-BoldItalic.otf	27096	19668
assets/MathJax/fonts/HTML-CSS/TeX/otf/MathJax_Math-Italic.otf	26384	19261
assets/MathJax/fonts/HTML-CSS/TeX/otf/MathJax_Math-Regular.otf	26328	19198
assets/MathJax/fonts/HTML-CSS/TeX/otf/MathJax_SansSerif-Bold.otf	22156	15760
assets/MathJax/fonts/HTML-CSS/TeX/otf/MathJax_SansSerif-Italic.otf	18572	14443
assets/MathJax/fonts/HTML-CSS/TeX/otf/MathJax_SansSerif-Regular.otf	15920	12476
assets/MathJax/fonts/HTML-CSS/TeX/otf/MathJax_Script-Regular.otf	14616	11722
assets/MathJax/fonts/HTML-CSS/TeX/otf/MathJax_Size1-Regular.otf	8252	5546
assets/MathJax/fonts/HTML-CSS/TeX/otf/MathJax_Size2-Regular.otf	7608	5231
assets/MathJax/fonts/HTML-CSS/TeX/otf/MathJax_Size3-Regular.otf	4712	2970
assets/MathJax/fonts/HTML-CSS/TeX/otf/MathJax_Size4-Regular.otf	7364	4900
assets/MathJax/fonts/HTML-CSS/TeX/otf/MathJax_Typewriter-Regular.otf	24184	17464
assets/MathJax/fonts/HTML-CSS/TeX/otf/MathJax_WinChrome-Regular.otf	4408	2734
assets/MathJax/fonts/HTML-CSS/TeX/otf/MathJax_WinIE6-Regular.otf	28100	20838
assets/MathJax/jax/element/mml/jax.js	39390	10388
assets/MathJax/jax/element/mml/optable/Arrows.js	2636	837
assets/MathJax/jax/element/mml/optable/BasicLatin.js	1532	713
assets/MathJax/jax/element/mml/optable/CombDiacritMarks.js	900	557
assets/MathJax/jax/element/mml/optable/CombDiactForSymbols.js	924	565
assets/MathJax/jax/element/mml/optable/Dingbats.js	908	561
assets/MathJax/jax/element/mml/optable/GeneralPunctuation.js	1133	617
assets/MathJax/jax/element/mml/optable/GeometricShapes.js	1390	644
assets/MathJax/jax/element/mml/optable/GreekAndCoptic.js	891	551
assets/MathJax/jax/element/mml/optable/Latin1Supplement.js	933	568
assets/MathJax/jax/element/mml/optable/LetterlikeSymbols.js	921	571
assets/MathJax/jax/element/mml/optable/MathOperators.js	3914	1127
assets/MathJax/jax/element/mml/optable/MiscMathSymbolsA.js	990	581
assets/MathJax/jax/element/mml/optable/MiscMathSymbolsB.js	3048	960
assets/MathJax/jax/element/mml/optable/MiscSymbolsAndArrows.js	932	569
assets/MathJax/jax/element/mml/optable/MiscTechnical.js	1008	577
assets/MathJax/jax/element/mml/optable/SpacingModLetters.js	964	574
assets/MathJax/jax/element/mml/optable/SuppMathOperators.js	4864	1222
assets/MathJax/jax/element/mml/optable/SupplementalArrowsA.js	1006	582
assets/MathJax/jax/element/mml/optable/SupplementalArrowsB.js	3358	954
assets/MathJax/jax/input/AsciiMath/config.js	1041	562
assets/MathJax/jax/input/AsciiMath/jax.js	32632	7939
assets/MathJax/jax/input/MathML/config.js	1025	544
assets/MathJax/jax/input/MathML/entities/a.js	1771	873
assets/MathJax/jax/input/MathML/entities/b.js	2193	1029
assets/MathJax/jax/input/MathML/entities/c.js	2294	1096
assets/MathJax/jax/input/MathML/entities/d.js	2421	1104
assets/MathJax/jax/input/MathML/entities/e.js	1824	904
assets/MathJax/jax/input/MathML/entities/f.js	1341	715
assets/MathJax/jax/input/MathML/entities/fr.js	1758	742
assets/MathJax/jax/input/MathML/entities/g.js	1663	827
assets/MathJax/jax/input/MathML/entities/h.js	1211	688
assets/MathJax/jax/input/MathML/entities/i.js	1691	862
assets/MathJax/jax/input/MathML/entities/j.js	916	545
assets/MathJax/jax/input/MathML/entities/k.js	943	560
assets/MathJax/jax/input/MathML/entities/l.js	3410	1456
assets/MathJax/jax/input/MathML/entities/m.js	1335	733
assets/MathJax/jax/input/MathML/entities/n.js	4581	1673
assets/MathJax/jax/input/MathML/entities/o.js	1776	900
assets/MathJax/jax/input/MathML/entities/opf.js	1800	743
assets/MathJax/jax/input/MathML/entities/p.js	1699	857
assets/MathJax/jax/input/MathML/entities/q.js	926	555
assets/MathJax/jax/input/MathML/entities/r.js	2720	1241
assets/MathJax/jax/input/MathML/entities/s.js	3134	1319
assets/MathJax/jax/input/MathML/entities/scr.js	1776	749
assets/MathJax/jax/input/MathML/entities/t.js	1796	905
assets/MathJax/jax/input/MathML/entities/u.js	1878	932
assets/MathJax/jax/input/MathML/entities/v.js	1649	818
assets/MathJax/jax/input/MathML/entities/w.js	915	548
assets/MathJax/jax/input/MathML/entities/x.js	1098	618
assets/MathJax/jax/input/MathML/entities/y.js	998	576
assets/MathJax/jax/input/MathML/entities/z.js	1025	594
assets/MathJax/jax/input/MathML/jax.js	16229	6359
assets/MathJax/jax/input/TeX/config.js	1222	679
assets/MathJax/jax/input/TeX/jax.js	51662	15972
assets/MathJax/jax/output/CommonHTML/autoload/annotation-xml.js	1518	842
assets/MathJax/jax/output/CommonHTML/autoload/maction.js	4081	1681
assets/MathJax/jax/output/CommonHTML/autoload/menclose.js	6010	2264
assets/MathJax/jax/output/CommonHTML/autoload/mglyph.js	2498	1218
assets/MathJax/jax/output/CommonHTML/autoload/mmultiscripts.js	6350	2466
assets/MathJax/jax/output/CommonHTML/autoload/ms.js	1595	802
assets/MathJax/jax/output/CommonHTML/autoload/mtable.js	10603	4299
assets/MathJax/jax/output/CommonHTML/autoload/multiline.js	13610	4395
assets/MathJax/jax/output/CommonHTML/config.js	1466	757
assets/MathJax/jax/output/CommonHTML/fonts/TeX/AMS-Regular.js	7424	2570
assets/MathJax/jax/output/CommonHTML/fonts/TeX/Caligraphic-Bold.js	2036	1105
assets/MathJax/jax/output/CommonHTML/fonts/TeX/Fraktur-Bold.js	3114	1664
assets/MathJax/jax/output/CommonHTML/fonts/TeX/Fraktur-Regular.js	3119	1642
assets/MathJax/jax/output/CommonHTML/fonts/TeX/Main-Bold.js	5418	2131
assets/MathJax/jax/output/CommonHTML/fonts/TeX/Math-BoldItalic.js	3975	1827
assets/MathJax/jax/output/CommonHTML/fonts/TeX/SansSerif-Bold.js	3728	1690
assets/MathJax/jax/output/CommonHTML/fonts/TeX/SansSerif-Italic.js	3739	1742
assets/MathJax/jax/output/CommonHTML/fonts/TeX/SansSerif-Regular.js	3697	1670
assets/MathJax/jax/output/CommonHTML/fonts/TeX/Script-Regular.js	1774	1006
assets/MathJax/jax/output/CommonHTML/fonts/TeX/Typewriter-Regular.js	3795	1584
assets/MathJax/jax/output/CommonHTML/fonts/TeX/fontdata-extra.js	4228	1271
assets/MathJax/jax/output/CommonHTML/fonts/TeX/fontdata.js	37476	12305
assets/MathJax/jax/output/CommonHTML/jax.js	56626	17944
assets/MathJax/jax/output/HTML-CSS/autoload/annotation-xml.js	1500	816
assets/MathJax/jax/output/HTML-CSS/autoload/maction.js	5434	2220
assets/MathJax/jax/output/HTML-CSS/autoload/menclose.js	9408	3045
assets/MathJax/jax/output/HTML-CSS/autoload/mglyph.js	2902	1360
assets/MathJax/jax/output/HTML-CSS/autoload/mmultiscripts.js	4655	1949
assets/MathJax/jax/output/HTML-CSS/autoload/ms.js	1489	773
assets/MathJax/jax/output/HTML-CSS/autoload/mtable.js	11464	4067
assets/MathJax/jax/output/HTML-CSS/autoload/multiline.js	14033	4448
assets/MathJax/jax/output/HTML-CSS/config.js	3570	1731
assets/MathJax/jax/output/HTML-CSS/fonts/Asana-Math/Alphabets/Regular/Main.js	4589	2078
assets/MathJax/jax/output/HTML-CSS/fonts/Asana-Math/Arrows/Regular/Main.js	6318	1957
assets/MathJax/jax/output/HTML-CSS/fonts/Asana-Math/DoubleStruck/Regular/Main.js	3055	1408
assets/MathJax/jax/output/HTML-CSS/fonts/Asana-Math/Fraktur/Regular/Main.js	3923	1726
assets/MathJax/jax/output/HTML-CSS/fonts/Asana-Math/Latin/Regular/Main.js	3015	1290
assets/MathJax/jax/output/HTML-CSS/fonts/Asana-Math/Main/Regular/Main.js	14024	4762
assets/MathJax/jax/output/HTML-CSS/fonts/Asana-Math/Marks/Regular/Main.js	2688	1303
assets/MathJax/jax/output/HTML-CSS/fonts/Asana-Math/Misc/Regular/Main.js	3174	1414
assets/MathJax/jax/output/HTML-CSS/fonts/Asana-Math/Monospace/Regular/Main.js	2888	1145
assets/MathJax/jax/output/HTML-CSS/fonts/Asana-Math/NonUnicode/Regular/Main.js	8317	2762
assets/MathJax/jax/output/HTML-CSS/fonts/Asana-Math/Normal/Regular/Main.js	10388	3849
assets/MathJax/jax/output/HTML-CSS/fonts/Asana-Math/Operators/Regular/Main.js	9585	2931
assets/MathJax/jax/output/HTML-CSS/fonts/Asana-Math/SansSerif/Regular/Main.js	10505	3740
assets/MathJax/jax/output/HTML-CSS/fonts/Asana-Math/Script/Regular/Main.js	3999	1804
assets/MathJax/jax/output/HTML-CSS/fonts/Asana-Math/Shapes/Regular/Main.js	3371	1306
assets/MathJax/jax/output/HTML-CSS/fonts/Asana-Math/Size1/Regular/Main.js	3579	1363
assets/MathJax/jax/output/HTML-CSS/fonts/Asana-Math/Size2/Regular/Main.js	3628	1421
assets/MathJax/jax/output/HTML-CSS/fonts/Asana-Math/Size3/Regular/Main.js	3272	1319
assets/MathJax/jax/output/HTML-CSS/fonts/Asana-Math/Size4/Regular/Main.js	1497	817
assets/MathJax/jax/output/HTML-CSS/fonts/Asana-Math/Size5/Regular/Main.js	1230	700
assets/MathJax/jax/output/HTML-CSS/fonts/Asana-Math/Size6/Regular/Main.js	2460	1128
assets/MathJax/jax/output/HTML-CSS/fonts/Asana-Math/Symbols/Regular/Main.js	6440	2308
assets/MathJax/jax/output/HTML-CSS/fonts/Asana-Math/Variants/Regular/Main.js	2747	1318
